No replacement NCBI gene id could be found for AGMX2 (line 114), skipping line.
No replacement NCBI gene id could be found for AMCN (line 181), skipping line.
No replacement NCBI gene id could be found for CLAM (line 693), skipping line.
No replacement NCBI gene id could be found for CYTB (line 924), skipping line.
No replacement NCBI gene id could be found for DHS6S1 (line 974), skipping line.
No replacement NCBI gene id could be found for FCMTE2 (line 1262), skipping line.
No replacement NCBI gene id could be found for FSHMD1A (line 1343), skipping line.
No replacement NCBI gene id could be found for TRNH (line 3718), skipping line.
No replacement NCBI gene id could be found for TRNI (line 3719), skipping line.
No replacement NCBI gene id could be found for TRNK (line 3720), skipping line.
No replacement NCBI gene id could be found for TRNP (line 3721), skipping line.
No replacement NCBI gene id could be found for TRNQ (line 3722), skipping line.
No replacement NCBI gene id could be found for TRNS2 (line 3723), skipping line.
No replacement NCBI gene id could be found for TRNT (line 3724), skipping line.
